Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,30-Dec-16,25-Jan-17,PE,9550,0,0,0,813.5,0,1320.5,0,0,0,0,0,8185.8
NIFTY,2-Jan-17,25-Jan-17,PE,6850,0,0,0,1.9,0,0,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6900,1.35,1.35,1.1,1.35,1.35,1.35,33,170.81,0.03,3900,-1050,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6950,0,0,0,0.1,0,0,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7000,1.5,1.9,1.5,1.75,1.8,1.75,3219,16903.94,4.19,1336650,-81300,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7050,2.5,2.5,2,2.4,2.4,2.4,4,21.16,0.01,75075,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7100,2,2.45,2,2.25,2.15,2.25,1649,8783.73,2.8,319950,-6600,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7150,0,0,0,0.4,0,0.05,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7200,2.7,3.5,2.65,3.1,3.2,3.1,3678,19870.06,8.86,640050,-6975,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7250,0,0,0,0.7,0,0.1,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7300,3.5,4.8,3.4,4.1,4.2,4.1,4521,24767.04,14.57,808650,45750,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7350,0,0,0,1.3,0,0.35,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,7400,5.3,6.85,5.05,5.55,5.55,5.55,11695,64959.9,52.65,897750,-4725,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9600,0,0,0,1409.05,1409.05,1381.7,0,0,0,6825,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9650,0,0,0,902.65,0,1431.5,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9700,0,0,0,948.1,0,1481.3,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9750,0,0,0,994,0,1531.1,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9800,0,0,0,1655.65,1655.65,1580.9,0,0,0,75,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9850,0,0,0,1087.05,0,1630.7,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9900,0,0,0,1134.1,0,1680.5,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9950,0,0,0,1181.45,0,1730.3,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,10000,1804,1830,1770,1790.75,1792.35,1790.75,237,2098.52,321.02,792525,-2250,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,10050,0,0,0,1276.9,0,1829.9,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,10100,0,0,0,1892.95,1892.95,1879.7,0,0,0,3300,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,10150,0,0,0,1353.4,0,1929.5,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8550,0,0,0,153.35,0,365.15,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8600,420.8,445.5,387.6,407.95,410,407.95,364,2460.38,112.58,632850,-3000,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8650,0,0,0,193.95,0,452.2,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8700,497.8,538.7,481,504.85,506,504.85,149,1028.55,56.33,761100,-1650,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8750,0,0,0,240.8,0,544.1,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8800,615.5,633.95,576.2,600.4,604,600.4,82,577.45,36.25,1137825,3675,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8850,0,0,0,691,691,639.35,0,0,0,75,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8900,840,840,681.5,700.1,700.1,700.1,133,963.33,75.56,797400,-4500,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,8950,0,0,0,353.2,0,736.55,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9000,790.6,834.55,771,795.3,799.65,795.3,1138,8368.94,687.44,2208675,25875,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9050,0,0,0,418.25,0,834.95,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9100,894.75,897.7,894.75,896.25,897.7,896.25,2,14.99,1.34,176025,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9150,0,0,0,488.65,0,933.95,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9200,1013.75,1033.5,971.15,995.2,997.4,995.2,48,367.33,36.13,76800,2775,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9250,0,0,0,564.05,0,1033.3,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9300,0,0,0,1107.6,1107.6,1083.05,0,0,0,30825,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9350,0,0,0,643.65,0,1132.8,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9400,1188.5,1188.5,1188.5,1188.5,1188.5,1188.5,1,7.94,0.89,33150,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,9450,0,0,0,727,0,1232.35,0,0,0,0,0,8179.5
